X,Y,Z
402568.65459560807,4442988.384806265,207.60128788331983
402567.15459560807,4443006.384806265,207.36834103390837
402560.65459560807,4442982.884806265,206.50580696260369
402562.15459560807,4442935.884806265,206.1287904037527
402564.15459560807,4442966.884806265,206.06304781020725
402570.15459560807,4442960.884806265,205.49512559075475
402570.65459560807,4442938.884806265,205.43961504117232
402567.65459560807,4442954.384806265,205.3258110590064
402564.15459560807,4442954.884806265,205.31421106200798
402557.65459560807,4442966.884806265,205.04775467618703
402571.15459560807,4442969.884806265,204.31023871123415
402560.15459560807,4443007.884806265,203.85249564121023
402570.15459560807,4442947.384806265,202.71529852008683
402540.65459560807,4442956.384806265,202.64242312064417
402561.65459560807,4442900.884806265,202.55430488832368
402543.15459560807,4442959.884806265,202.550495453015
402524.65459560807,4442925.884806265,202.37219394902093
402560.15459560807,4443024.384806265,202.12252155801764
402435.65459560807,4442879.884806265,201.8702169837572
402526.65459560807,4442935.884806265,201.86122809336126
402524.65459560807,4442930.384806265,201.6607330866752
402565.15459560807,4442907.384806265,201.4698182273296
402533.15459560807,4442937.884806265,201.18066234053248
402538.15459560807,4442972.884806265,200.9449808055153
402536.65459560807,4442922.384806265,200.40380001983368
402564.15459560807,4442944.384806265,200.24703139499644
402536.65459560807,4442916.884806265,199.96277263352127
402537.65459560807,4442882.384806265,199.51205779552086
402539.65459560807,4442904.384806265,199.20368260920054
402464.65459560807,4442876.384806265,199.11332531562766
402535.15459560807,4442902.884806265,198.93526256239457
402537.15459560807,4442912.384806265,198.81153967471465
402541.65459560807,4442899.884806265,198.72238328894713
402512.15459560807,4442964.884806265,198.63369780564352
402220.65459560807,4442927.884806265,198.5126599226038
402217.15459560807,4442836.884806265,198.3838312240244
402554.65459560807,4442894.884806265,198.34603850116181
402545.65459560807,4442968.884806265,198.1405938584404
402540.65459560807,4442997.884806265,198.12444435238817
402537.15459560807,4442898.384806265,198.10671140388098
402403.65459560807,4442876.384806265,197.6825493411144
402435.15459560807,4442833.884806265,197.5872990281316
402524.65459560807,4442981.884806265,197.4398201585854
402557.15459560807,4442890.884806265,197.43942704125743
402529.15459560807,4442880.384806265,197.41887660776487
402398.65459560807,4442834.384806265,197.15788707908263
402475.65459560807,4442985.384806265,196.98257938607853
402406.15459560807,4442905.884806265,196.95228223660524
402520.15459560807,4442893.884806265,196.91192736790643
402170.65459560807,4442937.884806265,196.88694718058522
402156.65459560807,4442923.384806265,196.80107408007
402184.15459560807,4442900.884806265,196.621071983965
402164.15459560807,4442916.384806265,196.52263529027024
402163.65459560807,4442889.884806265,196.4841380745354
402401.65459560807,4442858.384806265,196.38408253103242
402398.15459560807,4442852.884806265,196.27734421299476
402186.65459560807,4442906.884806265,196.186641405028
402419.15459560807,4442932.884806265,196.1758048616805
402574.15459560807,4442915.384806265,196.15672378191402
402546.65459560807,4442973.884806265,196.13936353302194
402528.65459560807,4442993.884806265,196.13645126269327
402170.15459560807,4442915.384806265,196.13107984566506
402149.65459560807,4442920.884806265,196.10237585696967
402177.65459560807,4442846.384806265,196.09780395496927
402405.65459560807,4442831.384806265,196.08076696081417
402150.65459560807,4442961.384806265,196.07415584366424
402171.65459560807,4442887.884806265,196.0116330276033
402145.65459560807,4442961.384806265,195.93292662324637
402209.65459560807,4442918.884806265,195.88865983061362
402184.15459560807,4442847.384806265,195.88337999658842
402160.15459560807,4442940.384806265,195.83860826266158
402557.15459560807,4442920.384806265,195.81602528515498
402205.65459560807,4442951.884806265,195.814347687242
402565.15459560807,4442915.884806265,195.79872037766228
402178.65459560807,4442841.884806265,195.7736340250797
402164.65459560807,4442942.384806265,195.75641565310494
402122.15459560807,4442963.384806265,195.73358925346815
402557.65459560807,4442915.384806265,195.68662145096215
